Date,Open,High,Low,Close,Volume
11/20/1992,0.439948,0.442085,0.428822,0.432752,184530966
11/23/1992,0.424999,0.428822,0.423104,0.426988,181247821
11/24/1992,0.428822,0.432752,0.424999,0.432752,186112664
11/25/1992,0.428822,0.430644,0.421292,0.424999,139258828
11/27/1992,0.424999,0.430644,0.423104,0.424999,56011928
11/30/1992,0.423104,0.432752,0.418296,0.432752,190485671
12/1/1992,0.430644,0.443869,0.426988,0.438193,154451431
12/2/1992,0.438193,0.439948,0.428822,0.430644,116037950
12/3/1992,0.424999,0.433384,0.422169,0.432752,222625411
12/4/1992,0.430644,0.432752,0.424999,0.427876,113672036
12/7/1992,0.426988,0.434557,0.426988,0.434557,171159351
12/8/1992,0.434557,0.442085,0.434557,0.437276,233365229
12/9/1992,0.434557,0.43637,0.430644,0.433384,189183097
12/10/1992,0.430644,0.433384,0.424999,0.430644,166374267
12/11/1992,0.430644,0.438193,0.430644,0.432752,142634951
12/14/1992,0.432752,0.434557,0.426988,0.430644,131150773
12/15/1992,0.426988,0.428822,0.417684,0.424358,216630758
12/16/1992,0.423104,0.428822,0.409831,0.413851,268123475
12/17/1992,0.415545,0.432752,0.415545,0.427876,277547344
12/18/1992,0.432752,0.445673,0.430644,0.438193,279434804
12/21/1992,0.438193,0.451429,0.43637,0.448334,303891862
12/22/1992,0.449596,0.46074,0.449596,0.455844,332495954
12/23/1992,0.453222,0.454996,0.445673,0.449596,133317409
12/24/1992,0.451429,0.451429,0.443869,0.443869,54549782
12/28/1992,0.445673,0.449596,0.445673,0.447813,83605815
12/29/1992,0.447813,0.457105,0.447813,0.448334,137996126
12/30/1992,0.449596,0.449596,0.442085,0.442085,119374165
12/31/1992,0.442085,0.451429,0.442085,0.449596,109458534
1/4/1993,0.447813,0.451429,0.434557,0.438193,153255207
1/5/1993,0.43637,0.445673,0.430644,0.445673,221043623
1/6/1993,0.457105,0.466417,0.454996,0.464653,333958026
1/7/1993,0.464653,0.470073,0.455844,0.458988,322965682
1/8/1993,0.457105,0.474007,0.449596,0.468231,380878295
1/11/1993,0.466417,0.484175,0.464653,0.482375,324853113
1/12/1993,0.472133,0.479733,0.462869,0.462869,410811524
1/13/1993,0.462869,0.481486,0.46074,0.47788,236927453
1/14/1993,0.481486,0.490778,0.479733,0.488966,436504745
1/15/1993,0.458988,0.468231,0.451429,0.453222,1071217678
1/18/1993,0.447813,0.451429,0.43637,0.447813,395951257
1/19/1993,0.449596,0.454996,0.445673,0.449596,325225256
1/20/1993,0.449596,0.453222,0.447813,0.451429,188385574
1/21/1993,0.449596,0.453222,0.442085,0.451429,218863814
1/22/1993,0.453222,0.453222,0.443869,0.447813,174389259
1/25/1993,0.445673,0.454996,0.445673,0.451429,240050961
1/26/1993,0.454996,0.466417,0.454996,0.457105,338969063
1/27/1993,0.458988,0.464653,0.442085,0.453222,268947590
1/28/1993,0.451429,0.453222,0.445673,0.450471,218411865
1/29/1993,0.453222,0.46074,0.443869,0.447813,315801290
2/1/1993,0.445673,0.46074,0.445673,0.46074,285482585
2/2/1993,0.457105,0.462869,0.453222,0.453222,216391525
2/3/1993,0.458988,0.458988,0.439948,0.451429,313528412
2/4/1993,0.451429,0.453222,0.443869,0.447813,247029248
2/5/1993,0.445673,0.447813,0.423104,0.430644,436278757
2/8/1993,0.428822,0.432752,0.417684,0.424999,333572570
2/9/1993,0.428822,0.431855,0.424999,0.427876,283236303
2/10/1993,0.428822,0.430644,0.413851,0.419567,318393243
2/11/1993,0.419567,0.423104,0.413851,0.414727,199696896
2/12/1993,0.413851,0.417684,0.40443,0.405336,326833586
2/16/1993,0.402694,0.402694,0.387655,0.398745,483890221
2/17/1993,0.400497,0.406272,0.391156,0.405336,296195884
2/18/1993,0.413851,0.415545,0.402694,0.413851,332442768
2/19/1993,0.415545,0.417684,0.411989,0.413851,211008289
2/22/1993,0.413851,0.421292,0.411989,0.414727,117207627
2/23/1993,0.413851,0.415545,0.406272,0.408098,230321374
2/24/1993,0.39211,0.405336,0.39211,0.403217,340085572
2/25/1993,0.400497,0.411989,0.400497,0.411989,198460783
2/26/1993,0.408098,0.408098,0.393047,0.398745,349961385
3/1/1993,0.398745,0.402694,0.396941,0.400497,141584898
3/2/1993,0.398745,0.409831,0.398745,0.408098,175279784
3/3/1993,0.406272,0.413851,0.400497,0.410708,240556103
3/4/1993,0.409831,0.415545,0.402694,0.413851,223515981
3/5/1993,0.411989,0.419567,0.411989,0.413851,132466672
3/8/1993,0.413851,0.426988,0.413851,0.424999,210064585
3/9/1993,0.424999,0.432752,0.424999,0.426988,183746680
3/10/1993,0.426988,0.430644,0.421292,0.426988,157242713
3/11/1993,0.428822,0.430644,0.423104,0.427876,171624492
3/12/1993,0.426988,0.426988,0.417684,0.423104,150357520
3/15/1993,0.421292,0.430644,0.4167,0.428822,161442984
3/16/1993,0.430644,0.434557,0.424999,0.424999,120198316
3/17/1993,0.424999,0.428822,0.413851,0.414727,209134204
3/18/1993,0.413851,0.418296,0.409831,0.409831,126020148
3/19/1993,0.413851,0.415545,0.402694,0.40443,182882710
3/22/1993,0.402694,0.405336,0.396941,0.400497,196054969
3/23/1993,0.400497,0.406272,0.395778,0.396941,121687032
3/24/1993,0.396941,0.408098,0.394801,0.40443,169790233
3/25/1993,0.40443,0.411989,0.402694,0.411989,202993269
3/26/1993,0.411989,0.411989,0.394801,0.400497,180104695
3/29/1993,0.393047,0.394801,0.381959,0.383684,310590961
3/30/1993,0.384552,0.393047,0.37792,0.393047,313368965
3/31/1993,0.394801,0.396941,0.38541,0.387655,264694100
4/1/1993,0.38541,0.391156,0.383684,0.38944,128412687
4/2/1993,0.379801,0.38541,0.372528,0.377043,301193604
4/5/1993,0.376156,0.379801,0.372528,0.376156,177034283
4/6/1993,0.376156,0.37792,0.366813,0.366813,199816544
4/7/1993,0.368635,0.381959,0.364774,0.379801,193263670
